"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"216015867299897344","215948496459673600","39920393","","","2012-06-22 03:52:50 +0000","web","@tarantindigital espero que no haya sido como esto :( http://t.co/F1u3QxI1","http://www.youtube.com/watch?v=qZowK0NAvig"
"215482108720857089","","","","","2012-06-20 16:31:52 +0000","web","Youtube para terminales http://t.co/TgsqCOYr","http://shelr.tv/"
"213498974714331136","","","213369510248460288","156142024","2012-06-15 05:11:36 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","RT @secastro: quoted in @wired: Two aspirin won't solve headaches caused by the massive expansion of top-level internet domains http://t ..."
"213139449440243714","","9779032","","","2012-06-14 05:22:59 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","@ilovetypography well, i don't know you either, but  do care!"
"212749149555273728","","","212671328967327745","254061926","2012-06-13 03:32:04 +0000","web","RT @Xander_Barker: Actualizado sobre corte de Telecom, Arnet y Personal: Un apag?n dej? sin comunicaciones a medio pa?s http://t.co/yssVXdW4","http://www.lagaceta.com.ar/nota/495616/Tucumanos/apagon-dejo-sin-comunicaciones-medio-pais.html"
"212202763738820609","","","","","2012-06-11 15:20:56 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","Almacenamiento seguro de passwords: ni sha* ni salts ayuda. Cambio de algoritmo (bcrypt) http://t.co/qx5XxF5B","http://m.krebsonsecurity.com/2012/06/how-companies-can-beef-up-password-security/"
"210106408597852161","","","","","2012-06-05 20:30:46 +0000","web","More than 45.000 .CL domain names were made accessible through IPv6 at once http://t.co/6jCqHHQs #IPv6","http://www.nic.cl/anuncios/2012-06-05-2-eng.html"
