"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"48550370527559680","","","","","2011-03-18 01:04:45 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","Este es un tuiteo mega-?o?o: si ud quiere probar chrome os, y conoce virtualbox, ac? est? la mano: http://is.gd/ZNVepp"
"48096704926461952","","","","","2011-03-16 19:02:02 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","hoy en ""fantasias animadas de ayer y de hoy""....  recuerdan al gato fiestero? http://is.gd/ZRuVYw"
"48031948622413824","","","","","2011-03-16 14:44:43 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","puedo trabajar con gente ma?osa, complicada, con pol?ticos, etc.  pero me revienta sobremanera trabajar con gente llorona :@"
"47803204817268736","","","","","2011-03-15 23:35:46 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: cleme en el jardin http://bit.ly/gVLkZC"
"47802376299610113","","","","","2011-03-15 23:32:29 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I uploaded a YouTube video -- cleme en el jardin http://youtu.be/IFgE873B-m0?a"
"47801294567653376","","","","","2011-03-15 23:28:11 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","nuevo video: clementina trapecista http://bit.ly/foAESb"
"47772181739999232","","","","","2011-03-15 21:32:30 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","freeedooom!!!!"
"47740783519989760","","","","","2011-03-15 19:27:44 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: El valor de un PhD http://bit.ly/dQkUFf"
"47723458674696193","","","","","2011-03-15 18:18:53 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","muero por unas ciruelas deshidratadas o unos higos en harina tostada.... nom nom nom"
"47336990508711936","47336557488779264","123570683","","","2011-03-14 16:43:12 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@alvherre oka, perfect, ya cach? la pana. revisaremos, gracias :)"
"47334269974102016","47333909939224576","123570683","","","2011-03-14 16:32:24 +0000","web","@alvherre que browser est?s usando? con chrome no encuentro esos errores :|"
"47329523045371904","","","47325985586155520","92965490","2011-03-14 16:13:32 +0000","web","RT @apadilla_g: Atentus ha republicado en versi?n moderna el mapa de la Internet chilena - 
http://mapa-internet.atentus.com/"
"47327081511653376","","","","","2011-03-14 16:03:50 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","probando hotot en el limuxito. al menos de aspecto harto mas decente que el gwibber"
"46333127454494720","","","","","2011-03-11 22:14:13 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","Seria bueno pasar las cartas de inundabilidad del shoa a un mapa colaborativo de google maps"
"45974278692286464","","","","","2011-03-10 22:28:16 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","El metro deberia tener carteles en la entrada de cada estaci?n informando cuando tienen la cag? en el servicio"
"45494840548540416","","","","","2011-03-09 14:43:09 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: Cultura Mapocho invita a un nuevo ciclo de Recorridos Patrimoniales por Santiago. http://bit.ly/fgxBhi"
"45462493706993664","","","","","2011-03-09 12:34:37 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","recomienda leer: Kinect, mouse, teclado: cuerpo versus lenguaje http://bit.ly/gafRCK"
"45451974581305344","45451088253554688","123640256","","","2011-03-09 11:52:49 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>","@LRdeChile con harta shalabota, cierto?"
