"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"270482459362197505","270477997423857664","14093970","","","2012-11-19 11:03:38 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@estebanmoro @lsf1968 No pasa nada :-) Ya consideremos en otra ocasi?n."
"269755634084376576","269737255734767616","18876718","","","2012-11-17 10:55:29 +0000","web","@horacio_ps My personal copy is here: http://t.co/7VuIYr9v","http://www.di.uniovi.es/~dani/downloads/IC-16-06-Peer.pdf"
"269755097901318145","269754928992497664","87985586","","","2012-11-17 10:53:21 +0000","web","@bpoblete Thank you!"
"269730657352167425","","","","","2012-11-17 09:16:14 +0000","web","Warning: the essay is deliberately provocative :) BTW, if you aren't subscribed to the mag. you can find my copy here: http://t.co/7VuIYr9v","http://www.di.uniovi.es/~dani/downloads/IC-16-06-Peer.pdf"
"269730053263331329","","","","","2012-11-17 09:13:50 +0000","web","The Peering column in the Nov-Dec issue of IEEE IC has published an essay by me on Twitter &amp; Elections. Find it here: http://t.co/LTkf84EU","http://www.computer.org/csdl/mags/ic/2012/06/mic2012060091-abs.html"
"269523372394815489","269434634117472256","13395602","","","2012-11-16 19:32:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@littlemove gracias!"
"269423907822514178","269423585926463488","596738256","","","2012-11-16 12:57:19 +0000","web","@TaBUC3M Entonces no llego ni de broma, creo que me perder?a hasta las ca?as... Otra vez ser?. Gracias por la invitaci?n."
"269422964640985088","269422459336413185","596738256","","","2012-11-16 12:53:35 +0000","web","@TaBUC3M Lo intentar? pero no s? lo que me llevar? llegar de Chamart?n a Getafe en cercan?as ?Cu?nto dura? ?Importa si llego tarde?"
"269422568111480833","269422259674939392","92611073","","","2012-11-16 12:52:00 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@putuko No, esa ya la us?; si la sigues hasta el final hay un video con la videoconferencia. La del pr?ximo viernes todav?a no la colgu?."
"269421624288243713","269420782197829632","92611073","","","2012-11-16 12:48:15 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","@putuko Intent? seguir en todo lo q pude los comentarios q me hiciste en la anterior. No estoy seguro d haberte echo caso 100% de las veces."
"269419993203105792","","","","","2012-11-16 12:41:46 +0000","web","El viernes 23 a las 16:15 impartir? una charla sobre influencia en Twitter en la UC3M en Legan?s (Aula 4.0.E01, edificio Torres Quevedo)."
