"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"164487151432646656","164484483008045056","10707022","","","2012-01-31 23:16:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@RobertoRiquelme felicidades!"
"164482540852355072","","","164482385818288128","158414847","2012-01-31 22:57:48 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","RT @TheDailyShow: Keep it classy, people. Don't bring this sign to Newt Gingrich?s election night party tonight. http://t.co/JSDhuejV","http://on.cc.com/yc5ks1"
"164452458666536960","164451917387415553","14175819","","","2012-01-31 20:58:16 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@the_hh @injenierobarsa @fashionistatop Tiene candadito as? que no s? c?mo te defendi? :-P"
"164450715845144577","164450682076798977","14175819","","","2012-01-31 20:51:20 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@the_hh @injenierobarsa @fashionistatop hecho"
"164450536991625216","164450408234881024","15617416","","","2012-01-31 20:50:38 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@InjenieroBarsa @the_hh @fashionistatop es mi modus operandi"
"164449846185566208","164449755823489025","15617416","","","2012-01-31 20:47:53 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@InjenieroBarsa @the_hh @fashionistatop No como el marido, que est? bien entrenado...."
"164430395314667520","164430226791739392","15617416","","","2012-01-31 19:30:35 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@InjenieroBarsa tomo para no enamorarme..."
"164410061555376128","","","","","2012-01-31 18:09:47 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","PHP+cURL+4store =&gt; not friends"
"164383772450619392","","","164374048212647936","3604961","2012-01-31 16:25:20 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","RT @hvergara: Ya creo que es hora que NIC Chile baje el costo de registro de dominios. Pagar 40 d?lares es CARISIMO comparado con otros  ..."
"164350522084704256","","","","","2012-01-31 14:13:12 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","""Da m?s miedo que mujer con sue?o"""
"164345262620409856","164343743971999744","17369964","","","2012-01-31 13:52:18 +0000","web","@olyerickson In order to track and debug in Linux, sometimes you need a robe, a pentagram and a sacrificial knife."
"164342772030111745","164340395923349504","17369964","","","2012-01-31 13:42:24 +0000","web","@olyerickson I think is cleaner/nicer than current Ubuntu. They do have a lice CD. It was recommended by @shangz"
"164337077121593344","","","","","2012-01-31 13:19:47 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","Linux Mint &gt; Ubuntu"
"164331681136906240","","","","","2012-01-31 12:58:20 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Buen post, sin estridencia, pero al grano. Privacidad en Chile: ?a qu? le temes? http://t.co/2e3uzq1p via @ManzanaMecanica","http://www.manzanamecanica.org/2012/01/privacidad_en_chile_a_que_le_temes.html"
"164137121374932992","164136986662281216","20492108","","","2012-01-31 00:05:13 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@ndujovne yo cacho que les dio paja o se les olvid? traducirlo al ingl?s xD"
"164136587003838464","164136126280515586","20492108","","","2012-01-31 00:03:06 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@ndujovne Es un error que s?lo aparece en el motor Zend (no acepta operador est?tico, includo para m?todos est?ticos)"
"164130660854935552","","","","","2012-01-30 23:39:33 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","Paamayim Nekudotayim"
"164101590368784384","","","","","2012-01-30 21:44:02 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","En muchos sentidos, @bancochile ES el phishing RT @vramiro: ... el phishing que esta afectando a @bancodechile   http://t.co/qgO2wOQX","http://lockerz.com/s/179258355"
"164073584392810496","","","","","2012-01-30 19:52:45 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","RT @bsletten: Study: Women Park Better Than Men: http://t.co/bAuaahPv #nocommentary","http://tinyurl.com/7m678su"
"164069984232939520","","","","","2012-01-30 19:38:27 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","some neo-prog band assassinating Genesis' Squonk on iTunes..."
"164069813457661952","164069159301414912","12719052","","","2012-01-30 19:37:46 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@badger_cl te hacen bullying?"
"164062859347763200","164060948531920896","14059304","","","2012-01-30 19:10:08 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@raliaga ... dise?ar por ejemplo, el final de God of War 3"
"164051991541186561","164050977761132544","12719052","","","2012-01-30 18:26:57 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@badger_cl Y la pileta del parque forestal?"
"164045466173059073","164045029147557888","12719052","","","2012-01-30 18:01:01 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@badger_cl Tambi?n por debajo... eso pasa cuando trabajo en el sill?n #leFin?"
